Entity,Code,Year,Leading cancer types causing death in males
Belize,BLZ,1989,Trachea and bronchus and lung
Belize,BLZ,1990,Trachea and bronchus and lung
Belize,BLZ,1991,Other malignant neoplasms
Belize,BLZ,1993,Trachea and bronchus and lung
Belize,BLZ,1994,Prostate
Belize,BLZ,1995,Trachea and bronchus and lung
Belize,BLZ,1996,Trachea and bronchus and lung
Belize,BLZ,1997,Prostate
Belize,BLZ,1998,Prostate
Belize,BLZ,1999,Prostate
Belize,BLZ,2000,Prostate
Belize,BLZ,2001,Prostate
Belize,BLZ,2002,Trachea and bronchus and lung
Belize,BLZ,2003,Prostate
Belize,BLZ,2004,Prostate
Belize,BLZ,2005,Prostate
Belize,BLZ,2006,Prostate
Belize,BLZ,2007,Prostate
Belize,BLZ,2008,Prostate
Belize,BLZ,2009,Prostate
Belize,BLZ,2010,Prostate
Belize,BLZ,2011,Trachea and bronchus and lung
Belize,BLZ,2012,Prostate
Belize,BLZ,2013,Prostate
Belize,BLZ,2014,Prostate
Belize,BLZ,2015,Prostate
Belize,BLZ,2016,Prostate
Bosnia and Herzegovina,BIH,1985,Trachea and bronchus and lung
Bosnia and Herzegovina,BIH,1986,Trachea and bronchus and lung
Bosnia and Herzegovina,BIH,1987,Trachea and bronchus and lung
Bosnia and Herzegovina,BIH,1988,Trachea and bronchus and lung
Bosnia and Herzegovina,BIH,1989,Trachea and bronchus and lung
Bosnia and Herzegovina,BIH,1990,Trachea and bronchus and lung
Bosnia and Herzegovina,BIH,1991,Trachea and bronchus and lung
Bosnia and Herzegovina,BIH,2011,Trachea and bronchus and lung
Bosnia and Herzegovina,BIH,2014,Trachea and bronchus and lung
Bosnia and Herzegovina,BIH,2016,Trachea and bronchus and lung
Bosnia and Herzegovina,BIH,2017,Trachea and bronchus and lung
Bosnia and Herzegovina,BIH,2018,Trachea and bronchus and lung
Bosnia and Herzegovina,BIH,2019,Trachea and bronchus and lung
Bosnia and Herzegovina,BIH,2020,Trachea and bronchus and lung
Bosnia and Herzegovina,BIH,2021,Trachea and bronchus and lung
Bosnia and Herzegovina,BIH,2022,Trachea and bronchus and lung
Brazil,BRA,1979,Stomach
Brazil,BRA,1980,Stomach
Brazil,BRA,1981,Stomach
Brazil,BRA,1982,Stomach
Brazil,BRA,1983,Stomach
